episode_number,season,episode_in_season,title,directed_by,written_by,air_date,us_viewers_in_millions
205,9,11,"""The One Where Rachel Goes Back to Work""",Gary Halvorson,Story by : Judd RubinTeleplay by : Peter Tibbals,"January 9, 2003",23.67
206,9,12,"""The One with Phoebe's Rats""",Ben Weiss,Story by : Dana Klein BorkowTeleplay by : Brian Buckner & Sebastian Jones,"January 16, 2003",23.66
207,9,13,"""The One Where Monica Sings""",Gary Halvorson,Story by : Sherry Bilsing-Graham & Ellen PlummerTeleplay by : Steven Rosenhaus,"January 30, 2003",25.82
208,9,14,"""The One with the Blind Dates""",Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"February 6, 2003",23.37
209,9,15,"""The One with the Mugging""",Gary Halvorson,Peter Tibbals,"February 13, 2003",20.85
210,9,16,"""The One with the Boob Job""",Gary Halvorson,Mark Kunerth,"February 20, 2003",19.52
211,9,17,"""The One with the Memorial Service""",Gary Halvorson,Story by : Robert CarlockTeleplay by : Brian Buckner & Sebastian Jones,"March 13, 2003",21.00
212,9,18,"""The One with the Lottery""",Gary Halvorson,Story by : Brian Buckner & Sebastian JonesTeleplay by : Sherry Bilsing-Graham & Ellen Plummer,"April 3, 2003",20.79
213,9,19,"""The One with Rachel's Dream""",Terry Hughes,Story by : Dana Klein BorkowTeleplay by : Mark Kunerth,"April 17, 2003",18.25
214,9,20,"""The One with the Soap Opera Party""",Sheldon Epps,Story by : Shana Goldberg-MeehanTeleplay by : Andrew Reich & Ted Cohen,"April 24, 2003",20.71
215,9,21,"""The One with the Fertility Test""",Gary Halvorson,Story by : Scott SilveriTeleplay by : Robert Carlock,"May 1, 2003",19.03
216,9,22,"""The One with the Donor""",Ben Weiss,Andrew Reich & Ted Cohen,"May 8, 2003",19.55
217,9,23,"""The One in Barbados” (part 1)",Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriMarta Kauffman & David Crane,"May 15, 2003",25.46
218,9,24,"""The One in Barbados” (part 2)",Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriMarta Kauffman & David Crane,"May 15, 2003",25.46
219,10,1,"""The One After Joey and Rachel Kiss""",Kevin S. Bright,Andrew Reich & Ted Cohen,"September 25, 2003",24.54
220,10,2,"""The One Where Ross Is Fine""",Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,"October 2, 2003",22.38
221,10,3,"""The One with Ross's Tan""",Gary Halvorson,Brian Buckner,"October 9, 2003",21.87
222,10,4,"""The One with the Cake""",Gary Halvorson,Robert Carlock,"October 23, 2003",18.77
223,10,5,"""The One Where Rachel's Sister Babysits""",Roger Christiansen,Dana Klein Borkow,"October 30, 2003",19.37
224,10,6,"""The One with Ross's Grant""",Ben Weiss,Sebastian Jones,"November 6, 2003",20.38
225,10,7,"""The One with the Home Study""",Kevin S. Bright,Mark Kunerth,"November 13, 2003",20.21
226,10,8,"""The One with the Late Thanksgiving""",Gary Halvorson,Shana Goldberg-Meehan,"November 20, 2003",20.66
227,10,9,"""The One with the Birth Mother""",David Schwimmer,Scott Silveri,"January 8, 2004",25.49
228,10,10,"""The One Where Chandler Gets Caught""",Gary Halvorson,Doty Abrams,"January 15, 2004",26.68
229,10,11,"""The One Where the Stripper Cries""",Kevin S. Bright,David Crane & Marta Kauffman,"February 5, 2004",24.91
230,10,12,"""The One with Phoebe's Wedding""",Kevin S. Bright,Robert Carlock & Dana Klein Borkow,"February 12, 2004",25.90
231,10,13,"""The One Where Joey Speaks French""",Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"February 19, 2004",24.27
232,10,14,"""The One with Princess Consuela""",Gary Halvorson,Story by : Robert CarlockTeleplay by : Tracy Reilly,"February 26, 2004",22.83
233,10,15,"""The One Where Estelle Dies""",Gary Halvorson,Story by : Mark KunerthTeleplay by : David Crane & Marta Kauffman,"April 22, 2004",22.64
234,10,16,"""The One with Rachel's Going Away Party""",Gary Halvorson,Andrew Reich & Ted Cohen,"April 29, 2004",24.51
235,10,17,"""The Last One” (part 1)",Kevin S. Bright,Marta Kauffman & David Crane,"May 6, 2004",52.46
236,10,18,"""The Last One” (part 2)",Kevin S. Bright,Marta Kauffman & David Crane,"May 6, 2004",52.46
