key,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst
NGO,Chubu Centrair International Airport,Nagoya,Japan,NGO,RJGG,34.8583984375,136.80499267578125,15,9,U
UKB,Kobe Airport,Kobe,Japan,UKB,RJBE,34.6328010559082,135.2239990234375,22,9,U
PUW,Pullman Moscow Regional Airport,Pullman,United States,PUW,KPUW,46.7439,-117.110001,2556,-8,A
LWS,Lewiston Nez Perce County Airport,Lewiston,United States,LWS,KLWS,46.3745002746582,-117.01499938964844,1442,-8,A
ELM,Elmira Corning Regional Airport,Elmira,United States,ELM,KELM,42.1599006652832,-76.8916015625,954,-5,A
ITH,Ithaca Tompkins Regional Airport,Ithaca,United States,ITH,KITH,42.49100112915039,-76.4583969116211,1099,-5,A
MRY,Monterey Peninsula Airport,Monterey,United States,MRY,KMRY,36.58700180053711,-121.84300231933594,257,-8,A
SBA,Santa Barbara Municipal Airport,Santa Barbara,United States,SBA,KSBA,34.42620087,-119.8399963,13,-8,A
DAB,Daytona Beach International Airport,Daytona Beach,United States,DAB,KDAB,29.179899,-81.058098,34,-5,A
LPX,Liepāja International Airport,Liepaja,Latvia,LPX,EVLA,56.51750183105469,21.096900939941406,16,2,E
RIX,Riga International Airport,Riga,Latvia,RIX,EVRA,56.92359924316406,23.971099853515625,36,2,E
SQQ,Šiauliai International Airport,Siauliai,Lithuania,SQQ,EYSA,55.89390182495117,23.395000457763672,443,2,E
HLJ,Barysiai Airport,Barysiai,Lithuania,HLJ,EYSB,56.07059860229492,23.5580997467041,270,2,E
KUN,Kaunas International Airport,Kaunas,Lithuania,KUN,EYKA,54.96390151977539,24.084800720214844,256,2,E
PLQ,Palanga International Airport,Palanga,Lithuania,PLQ,EYPA,55.973201751708984,21.093900680541992,33,2,E
VNO,Vilnius International Airport,Vilnius,Lithuania,VNO,EYVI,54.63410186767578,25.28580093383789,646,2,E
PNV,Panevėžys Air Base,Panevezys,Lithuania,PNV,EYPP,55.729400634765625,24.460800170898438,197,2,E
EVN,Zvartnots International Airport,Yerevan,Armenia,EVN,UDYZ,40.1473007202,44.3959007263,2838,4,E
